iter	Passed	Remaining
0	1	126
1	2	101
2	2	89
3	3	81
4	4	81
5	5	79
6	5	78
7	6	76
8	7	75
9	8	74
10	9	73
11	10	73
12	11	75
13	11	73
14	12	71
15	13	70
16	14	69
17	14	67
18	15	66
19	16	66
20	17	65
21	18	63
22	18	62
23	19	61
24	20	61
25	21	60
26	21	59
27	22	58
28	23	57
29	24	56
30	25	55
31	26	55
32	27	55
33	28	55
34	29	55
35	30	54
36	31	53
37	32	52
38	32	51
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	41	43
49	43	43
50	44	42
51	44	41
52	45	40
53	46	39
54	47	38
55	47	37
56	48	36
57	49	35
58	50	34
59	50	33
60	51	32
61	52	32
62	53	31
63	53	30
64	55	29
65	57	29
66	58	28
67	59	27
68	60	27
69	60	26
70	61	25
71	62	24
72	63	23
73	64	22
74	65	21
75	66	20
76	67	20
77	67	19
78	68	18
79	69	17
80	70	16
81	72	15
82	73	14
83	74	14
84	74	13
85	75	12
86	76	11
87	77	10
88	78	9
89	79	8
90	79	7
91	80	6
92	81	6
93	81	5
94	82	4
95	83	3
96	86	2
97	87	1
98	88	0
99	88	0
