iter	Passed	Remaining
0	2	2417
1	3	1904
2	4	1658
3	5	1470
4	8	1724
5	10	1797
6	12	1717
7	13	1710
8	14	1625
9	15	1552
10	16	1516
11	17	1477
12	18	1434
13	19	1395
14	20	1358
15	23	1452
16	25	1466
17	26	1448
18	28	1454
19	29	1429
20	30	1422
21	31	1408
22	32	1385
23	33	1362
24	34	1340
25	35	1321
26	38	1404
27	40	1405
28	41	1395
29	43	1393
30	44	1385
31	45	1375
32	46	1359
33	47	1344
34	48	1328
35	49	1313
36	50	1305
37	52	1337
38	54	1337
39	55	1332
40	56	1332
41	58	1327
42	59	1315
43	59	1301
44	60	1288
45	61	1275
46	62	1263
47	63	1258
48	64	1253
49	66	1267
50	68	1271
51	70	1283
52	71	1282
53	72	1275
54	74	1278
55	75	1270
56	76	1266
57	77	1259
58	78	1251
59	79	1241
60	81	1258
61	84	1274
62	85	1272
63	86	1263
64	87	1258
65	88	1256
66	89	1247
67	90	1239
68	91	1231
69	92	1222
70	92	1214
71	93	1207
72	95	1218
73	97	1215
74	98	1211
75	99	1213
76	101	1217
77	102	1212
78	103	1211
79	105	1208
80	106	1205
81	107	1198
82	107	1187
83	111	1218
84	113	1218
85	114	1217
86	115	1211
87	116	1206
88	117	1199
89	118	1193
90	118	1186
91	119	1180
92	120	1174
93	121	1168
94	122	1162
95	123	1162
96	125	1168
97	126	1162
98	127	1156
99	127	1149
100	128	1144
101	129	1139
102	130	1133
103	131	1128
104	131	1123
105	132	1118
106	133	1114
107	134	1109
108	135	1104
109	135	1099
110	136	1095
111	137	1091
112	139	1095
113	140	1091
114	141	1087
115	142	1083
116	142	1078
117	143	1073
118	144	1069
119	145	1065
120	146	1061
121	146	1056
122	147	1052
123	148	1048
124	149	1044
125	150	1040
126	150	1035
127	151	1032
128	153	1038
129	154	1035
130	155	1031
131	156	1028
132	157	1024
133	158	1021
134	158	1017
135	159	1014
136	160	1010
137	161	1007
138	162	1004
139	162	1000
140	163	997
141	164	992
142	165	989
143	165	985
144	167	984
145	168	987
146	169	984
147	170	981
148	171	978
149	172	975
150	172	971
151	173	968
152	174	965
153	175	962
154	175	959
155	176	955
156	177	952
157	177	948
158	178	945
159	180	945
160	180	940
161	181	937
162	183	943
163	184	942
164	186	941
165	187	939
166	188	939
167	189	936
168	189	933
169	190	930
170	191	927
171	192	924
172	192	922
173	194	921
174	194	918
175	195	915
176	197	918
177	198	917
178	199	914
179	200	912
180	201	910
181	201	907
182	202	903
183	203	901
184	203	898
185	204	895
186	205	893
187	206	890
188	206	887
189	207	884
190	208	881
191	208	878
192	209	876
193	210	874
194	212	877
195	213	876
196	214	874
197	215	871
198	216	869
199	216	867
200	217	866
201	218	864
202	219	862
203	220	860
204	221	859
205	222	856
206	223	854
207	223	852
208	224	850
209	227	854
210	228	854
211	229	853
212	230	852
213	231	850
214	232	848
215	233	846
216	233	843
217	234	841
218	235	839
219	236	837
220	237	835
221	237	833
222	238	830
223	239	828
224	239	826
225	242	830
226	243	829
227	244	827
228	245	826
229	246	825
230	247	823
231	248	821
232	248	819
233	250	818
234	251	817
235	252	816
236	253	814
237	253	812
238	254	811
239	256	812
240	257	811
241	258	810
242	259	809
243	260	807
244	261	806
245	262	804
246	263	803
247	264	802
248	265	800
249	266	799
250	267	797
251	268	795
252	270	798
253	271	798
254	272	796
255	273	795
256	274	793
257	275	792
258	276	792
259	278	791
260	279	790
261	280	789
262	281	788
263	282	787
264	283	785
265	285	787
266	286	787
267	288	787
268	289	786
269	291	787
270	292	786
271	293	785
272	294	784
273	295	783
274	296	782
275	298	784
276	300	784
277	302	784
278	303	784
279	305	786
280	307	786
281	308	785
282	309	785
283	311	784
284	314	788
285	315	788
286	316	787
287	317	785
288	319	785
289	320	783
290	320	781
291	321	780
292	322	779
293	323	777
294	324	775
295	325	774
296	326	773
297	328	774
298	330	774
299	331	772
300	332	772
301	333	770
302	334	769
303	335	767
304	336	766
305	337	764
306	338	763
307	339	761
308	340	760
309	341	759
310	343	760
311	344	760
312	345	758
313	346	757
314	347	756
315	348	755
316	349	753
317	350	752
318	352	751
319	353	750
320	353	748
321	354	747
322	355	745
323	358	747
324	359	746
325	360	745
326	361	744
327	362	743
328	363	742
329	364	740
330	365	739
331	366	738
332	367	736
333	368	735
334	370	734
335	370	733
336	373	734
337	374	734
338	376	733
339	377	732
340	378	730
341	379	730
342	380	729
343	381	728
344	382	726
345	384	725
346	385	725
347	387	725
348	388	724
349	389	723
350	390	722
351	391	721
352	392	719
353	393	718
354	394	716
355	395	715
356	396	714
357	397	713
358	399	713
359	400	712
360	402	711
361	403	710
362	404	709
363	405	707
364	406	706
365	407	705
366	408	704
367	409	703
368	410	701
369	411	700
370	412	699
371	414	700
372	416	699
373	417	698
374	418	697
375	419	695
376	420	694
377	421	693
378	422	692
379	423	691
380	424	689
381	425	688
382	426	687
383	429	689
384	431	688
385	432	687
386	433	686
387	434	685
388	435	684
389	436	683
390	437	681
391	438	680
392	439	679
393	440	677
394	441	676
395	445	679
396	446	678
397	447	677
398	448	675
399	449	674
400	451	673
401	452	672
402	453	671
403	454	670
404	455	668
405	456	667
406	458	668
407	460	668
408	461	667
409	462	666
410	464	665
411	465	664
412	466	663
413	467	661
414	468	660
415	469	659
416	470	658
417	473	659
418	475	659
419	476	658
420	478	657
421	479	656
422	479	654
423	480	653
424	481	651
425	483	650
426	484	649
427	485	648
428	487	649
429	490	649
430	491	648
431	492	647
432	493	646
433	494	644
434	495	643
435	496	642
436	497	641
437	498	640
438	499	638
439	501	638
440	504	638
441	505	638
442	506	637
443	508	636
444	509	635
445	510	633
446	511	632
447	512	631
448	513	630
449	514	628
450	516	629
451	518	628
452	519	627
453	521	626
454	522	625
455	523	624
456	524	623
457	526	622
458	527	621
459	528	620
460	532	622
461	534	622
